
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2019-09-18


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 126,160,165,495,496,741,753,825,1004,1048,1176,1504,1517,2114
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 126, -, 1.0, -, 5.6, 7.0, 5.7, "Gazli_ USSR", 1976, "Karakyr", 6.8, Reverse, 3.92, 5.46, 259.59, 0.25, 1.0, RSN126_GAZLI_GAZ000.AT2, RSN126_GAZLI_GAZ090.AT2 , RSN126_GAZLI_GAZ-UP.AT2  
2, SRSS, 160, -, 1.0, -, 6.1, 9.7, 6.1, "Imperial Valley-06", 1979, "Bonds Corner", 6.53, strike slip, 0.44, 2.66, 223.03, 0.125, 1.0, RSN160_IMPVALL.H_H-BCR140.AT2, RSN160_IMPVALL.H_H-BCR230.AT2 , RSN160_IMPVALL.H_H-BCR-UP.AT2  
3, SRSS, 165, -, 1.0, -, 13.2, 24.0, 1.2, "Imperial Valley-06", 1979, "Chihuahua", 6.53, strike slip, 7.29, 7.29, 242.05, 0.225, 1.0, RSN165_IMPVALL.H_H-CHI012.AT2, RSN165_IMPVALL.H_H-CHI282.AT2 , RSN165_IMPVALL.H_H-CHIDWN.AT2  
4, SRSS, 495, -, 1.0, -, 7.2, 7.5, 3.9, "Nahanni_ Canada", 1985, "Site 1", 6.76, Reverse, 2.48, 9.6, 605.04, 0.125, 1.0, RSN495_NAHANNI_S1010.AT2, RSN495_NAHANNI_S1280.AT2 , RSN495_NAHANNI_S1-UP.AT2  
5, SRSS, 496, -, 1.0, -, 4.5, 7.3, 0.9, "Nahanni_ Canada", 1985, "Site 2", 6.76, Reverse, 0.0, 4.93, 605.04, 0.125, 1.0, RSN496_NAHANNI_S2240.AT2, RSN496_NAHANNI_S2330.AT2 ,  -----   
6, SRSS, 741, -, 1.0, -, 6.9, 9.8, 5.4, "Loma Prieta", 1989, "BRAN", 6.93, Reverse Oblique, 3.85, 10.72, 476.54, 0.125, 1.0, RSN741_LOMAP_BRN000.AT2, RSN741_LOMAP_BRN090.AT2 , RSN741_LOMAP_BRN-UP.AT2  
7, SRSS, 753, -, 1.0, -, 4.6, 7.9, 3.2, "Loma Prieta", 1989, "Corralitos", 6.93, Reverse Oblique, 0.16, 3.85, 462.24, 0.1875, 1.0, RSN753_LOMAP_CLS000.AT2, RSN753_LOMAP_CLS090.AT2 , RSN753_LOMAP_CLS-UP.AT2  
8, SRSS, 825, -, 1.0, -, 2.9, 9.7, 6.0, "Cape Mendocino", 1992, "Cape Mendocino", 7.01, Reverse, 0.0, 6.96, 567.78, 0.07, 1.0, RSN825_CAPEMEND_CPM000.AT2, RSN825_CAPEMEND_CPM090.AT2 , RSN825_CAPEMEND_CPM-UP.AT2  
9, SRSS, 1004, -, 1.0, 0.931, 4.7, 8.5, 7.0, "Northridge-01", 1994, "LA - Sepulveda VA Hospital", 6.69, Reverse, 0.0, 8.44, 380.06, 0.182, 1.0, RSN1004_NORTHR_SPV270.AT2, RSN1004_NORTHR_SPV360.AT2 , RSN1004_NORTHR_SPV-UP.AT2  
10, SRSS, 1048, -, 1.0, -, 6.6, 15.7, 4.6, "Northridge-01", 1994, "Northridge - 17645 Saticoy St", 6.69, Reverse, 0.0, 12.09, 280.86, 0.1625, 1.0, RSN1048_NORTHR_STC090.AT2, RSN1048_NORTHR_STC180.AT2 ,  -----   
11, SRSS, 1176, -, 1.0, 4.949, 7.0, 15.1, 1.3, "Kocaeli_ Turkey", 1999, "Yarimca", 7.51, strike slip, 1.38, 4.83, 297.0, 0.0875, 1.0, RSN1176_KOCAELI_YPT060.AT2, RSN1176_KOCAELI_YPT150.AT2 , RSN1176_KOCAELI_YPT-UP.AT2  
12, SRSS, 1504, -, 1.0, -, 11.0, 23.0, 3.6, "Chi-Chi_ Taiwan", 1999, "TCU067", 7.62, Reverse Oblique, 0.62, 0.62, 433.63, 0.0375, 1.0, RSN1504_CHICHI_TCU067-E.AT2, RSN1504_CHICHI_TCU067-N.AT2 , RSN1504_CHICHI_TCU067-V.AT2  
13, SRSS, 1517, -, 1.0, -, 17.5, 23.0, 20.3, "Chi-Chi_ Taiwan", 1999, "TCU084", 7.62, Reverse Oblique, 0.0, 11.48, 665.2, 0.25, 1.0, RSN1517_CHICHI_TCU084-E.AT2, RSN1517_CHICHI_TCU084-N.AT2 , RSN1517_CHICHI_TCU084-V.AT2  
14, SRSS, 2114, -, 1.0, 3.157, 9.1, 29.5, 1.9, "Denali_ Alaska", 2002, "TAPS Pump Station #10", 7.9, strike slip, 0.18, 2.74, 329.4, 0.13, 1.0, RSN2114_DENALI_PS10-047.AT2, RSN2114_DENALI_PS10-317.AT2 , RSN2114_DENALI_PS10-UP.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-126 SRSS pSa (g),RSN-160 SRSS pSa (g),RSN-165 SRSS pSa (g),RSN-495 SRSS pSa (g),RSN-496 SRSS pSa (g),RSN-741 SRSS pSa (g),RSN-753 SRSS pSa (g),RSN-825 SRSS pSa (g),RSN-1004 SRSS pSa (g),RSN-1048 SRSS pSa (g),RSN-1176 SRSS pSa (g),RSN-1504 SRSS pSa (g),RSN-1517 SRSS pSa (g),RSN-2114 SRSS pSa (g)
0.15,1.57141515,2.7697038,0.89155583,2.02834076,2.21785664,0.56854399,2.77069892,0.66620236,2.05493214,1.28444329,3.60291841,1.89271005,1.29956575,0.53800482,0.7810205,1.66789613,0.62667832
0.16,1.60015972,2.78433227,0.91961407,2.26304654,2.48543896,0.57808941,2.90075955,0.56667146,1.89282124,1.39834534,3.31687779,2.06773937,1.35562942,0.56516636,0.84106652,1.55503493,0.61554924
0.17,1.71388159,3.06609583,0.95802292,2.14024564,2.74788721,0.59220907,3.67034511,0.5109123,1.84930456,1.4954937,3.04651358,2.71521616,1.36023602,0.62540407,0.83747444,1.78506449,0.61803588
0.18,1.7306355,3.10882927,0.96341709,1.90551803,2.75394106,0.65742888,4.00752382,0.58492041,1.66935363,1.45901795,2.9974191,2.53838596,1.50503054,0.65072385,0.87082087,2.02965107,0.59916186
0.19,1.7237251,2.97989387,0.99709196,1.96077073,2.58954259,0.72793289,3.87492639,0.6622439,1.51142875,1.48377874,2.83950005,2.54642149,1.59119553,0.66344988,1.01739957,2.01745899,0.64610189
0.2,1.68386076,2.89546216,0.97925198,1.86447617,2.62539633,0.69683271,3.64416365,0.67817455,1.30111011,1.45135933,2.84918897,2.68006777,1.50681693,0.67242916,1.0973083,1.79922713,0.7074995
0.22,1.64565086,2.74950565,0.98496497,1.56214397,2.38078468,0.73387589,2.82596075,0.64067469,1.42022475,1.6654139,3.15687328,2.884043,1.43269109,0.65475355,1.07634736,1.91581132,0.68951379
0.24,1.64163105,2.63150878,1.02410926,1.43789041,2.41214663,0.90862904,1.94283035,0.6801671,1.62255837,1.98503659,3.33448855,2.63386986,1.38399017,0.7799394,1.0578959,2.10160937,0.70178299
0.25,1.6541767,2.62513758,1.04234558,1.48372813,2.31349667,0.9415668,1.9065696,0.74761881,1.70672096,2.09568582,3.47769003,2.45647503,1.36339846,0.81013381,1.06359567,2.05460066,0.73719336
0.26,1.68173092,2.62406933,1.07779884,1.59885976,2.0900114,0.96034898,1.92193965,0.80342473,1.90742843,2.20297946,3.49078329,2.50228461,1.31257221,0.8554988,1.14293802,1.99054316,0.76462037
0.28,1.73369895,2.73220723,1.10010398,1.79324213,2.04829515,0.90861658,1.98837747,0.8339721,1.84960035,2.32107265,3.35533466,3.07117083,1.33917337,0.86508197,1.19822555,1.97419963,0.72542289
0.29,1.73397008,2.71706732,1.10657996,1.72948547,2.29830502,0.81660246,1.88618426,0.81362933,1.8289238,2.37219955,3.12257429,3.09954661,1.50480344,0.88262996,1.25260917,2.01329913,0.65478865
0.3,1.73645136,2.71999566,1.10855447,1.72885425,2.47573226,0.71211751,1.85302284,0.77937812,1.78829734,2.37908271,2.96331551,3.08920274,1.62632639,0.86486126,1.27262344,2.09489978,0.68260493
0.32,1.72442922,2.6311294,1.1301824,1.78877651,2.52431313,0.65430211,2.02712934,0.71650234,1.80031303,2.26882965,2.72138201,2.85598198,1.92634743,0.85005234,1.28229729,1.95310014,0.77268183
0.34,1.66032056,2.46970031,1.11619387,1.73361293,2.58261294,0.57666327,1.92400191,0.69399904,1.97383955,1.9806787,2.43401874,2.44196935,1.88741761,0.82666073,1.5631581,1.88029161,0.7455633
0.35,1.63221825,2.40766787,1.10652157,1.77405579,2.67276425,0.6316816,1.71363317,0.67271916,2.1603925,1.83363805,2.26994283,2.30263406,1.78108575,0.84269877,1.65498151,1.78084868,0.75997941
0.36,1.62597441,2.3862505,1.1079276,1.85379547,2.75312342,0.69611615,1.56163926,0.66452751,2.26096664,1.80069628,2.16224228,2.14715862,1.75892733,0.86468121,1.68261555,1.77686759,0.78028441
0.38,1.60852378,2.38888296,1.08307891,1.80474361,2.86232372,0.72213658,1.28061983,0.63889009,2.20700042,1.79685116,1.94962001,2.16973312,1.75350166,0.82752468,1.6086963,2.04693672,0.85075507
0.4,1.6550861,2.45543271,1.11561192,1.8667467,2.84844888,0.78190789,1.25990338,0.64094622,2.37915507,1.84704674,1.72125576,2.27616988,1.82487603,0.84458754,1.64794695,2.29097035,0.94124403
0.42,1.64085993,2.44081223,1.10308416,1.68565372,2.78230132,0.83221215,1.21447785,0.69008694,2.38607325,1.84591805,1.55611675,2.34227945,1.93123735,0.92398825,1.4287019,2.43718258,0.91580949
0.44,1.59428767,2.39966459,1.05921186,1.45262451,2.46845191,0.83857563,1.09370491,0.74244033,2.26773999,1.78553633,1.57827301,2.6357243,1.7874617,0.91869935,1.33529147,2.56118064,0.85432336
0.45,1.5917897,2.38032408,1.06447457,1.4265381,2.31082581,0.84697025,1.07761711,0.78999842,2.25620942,1.75741571,1.6571886,2.58644024,1.76944054,0.90491843,1.40105624,2.66799625,0.83244069
0.46,1.57574298,2.32883126,1.06618542,1.4016715,2.17055304,0.83550851,1.08016773,0.85752644,2.20502779,1.73955733,1.72905824,2.48624568,1.74760495,0.87210731,1.43537239,2.68023648,0.81976438
0.48,1.50603942,2.17941395,1.04071772,1.34109888,2.02014358,0.78613959,1.08870706,0.96879349,2.08643596,1.74033031,1.75384834,2.29914634,1.65897674,0.77407439,1.34727736,2.43938928,0.78019049
0.5,1.46745938,2.0392941,1.05597178,1.66457886,1.88797341,0.76583105,1.02829534,1.02950524,2.07771226,1.77462589,1.65747266,2.10644236,1.54711512,0.81075108,1.39473671,2.03561503,0.76377628
0.55,1.47684124,2.13164479,1.02318175,1.88815885,2.28144576,0.80919834,0.82513824,0.97903642,1.99408516,1.85560757,1.30009582,2.16142916,1.46911457,0.90760054,1.24789638,2.14563664,0.81133387
0.6,1.40306575,1.94966767,1.00970721,1.4938793,2.2639501,1.0217788,0.88607363,0.87365955,1.72429256,1.75237237,1.25814881,2.03906976,1.31914835,0.93146617,1.15278944,2.00666774,0.91962394
0.65,1.33997785,1.82921111,0.9815929,1.37756354,1.88443899,1.10026369,0.82232517,0.76096679,1.76835121,1.602531,1.25402892,1.9824716,1.36259705,0.88466318,1.00462527,1.94951671,1.00534673
0.667,1.31626481,1.79275927,0.96641701,1.38594067,1.55929809,1.12469325,0.85580933,0.72865077,1.77454948,1.58088006,1.2405215,1.99803723,1.18282027,0.87962038,1.02540344,2.04993404,1.04154882
0.7,1.31219153,1.82724986,0.9423159,1.29446475,1.50922844,1.077596,0.85120819,0.66540254,1.57968683,1.71919406,1.18146937,2.11553812,1.12045586,0.88735782,1.13170912,2.15743399,1.07993627
0.75,1.31525064,1.94248876,0.89055045,1.20832161,1.38109946,0.94249456,0.85476896,0.57313246,1.27603014,1.70986143,1.09593695,2.20478736,1.2678572,0.922198,1.3360314,2.56234822,1.07864123
0.8,1.27201514,2.042876,0.79203168,1.17649907,1.34012708,0.80983919,0.88893277,0.49658388,1.30963532,1.45615752,1.02278108,2.10960514,0.99614804,0.91322253,1.20960635,3.02006647,1.05900746
